,Date,Price,Open,High,Low,Vol.,Change %
0,02/19/2023,286.6,286.6,286.6,286.6,3.14,0.00
1,02/16/2023,286.6,286.6,286.6,286.6,5.43,0.00
2,02/15/2023,286.6,286.6,286.6,286.6,2.27,0.00
3,02/14/2023,286.6,286.6,286.6,286.6,2.73,0.00
4,02/13/2023,286.6,286.6,286.6,286.6,2.94,0.00
5,02/12/2023,286.6,286.6,286.6,286.6,3.75,0.00
6,02/09/2023,286.6,286.6,286.6,286.6,6.92,0.00
7,02/08/2023,286.6,286.6,286.6,286.6,1.7,0.00
8,02/07/2023,286.6,286.6,286.6,286.6,3.24,0.00
9,02/06/2023,286.6,286.6,286.6,286.6,2.5,0.00
10,02/05/2023,286.6,286.6,286.6,286.6,3.98,0.00
11,02/02/2023,286.6,286.6,286.6,286.6,6.3,0.00
12,02/01/2023,286.6,286.6,286.6,286.6,2.6,0.00
13,01/31/2023,286.6,286.6,286.6,286.6,9.13,0.00
14,01/30/2023,286.6,286.6,286.6,286.6,7.16,0.00
15,01/29/2023,286.6,286.6,286.6,286.6,4.99,0.00
16,01/26/2023,286.6,286.6,286.6,286.6,1.55,0.00
17,01/25/2023,286.6,286.6,286.6,286.6,6.05,0.00
18,01/24/2023,286.6,286.6,286.6,286.6,4.19,0.00
19,01/23/2023,286.6,286.6,286.6,286.6,3.78,0.00
20,01/22/2023,286.6,286.6,286.6,286.6,2.68,0.00
21,01/19/2023,286.6,286.6,286.6,286.6,2.52,0.00
22,01/18/2023,286.6,286.6,286.6,286.6,4.74,0.00
23,01/17/2023,286.6,286.6,286.6,286.6,6.64,0.00
24,01/16/2023,286.6,286.6,286.6,286.6,2.51,0.00
25,01/15/2023,286.6,286.6,286.6,286.6,2.63,0.00
26,01/12/2023,286.6,286.6,286.6,286.6,2.17,0.00
27,01/11/2023,286.6,286.6,286.6,286.6,1.08,0.00
28,01/10/2023,286.6,286.6,286.6,286.6,2.29,0.00
29,01/09/2023,286.6,286.6,286.6,286.6,2.06,0.00
30,01/08/2023,286.6,286.6,286.6,286.6,4.39,0.00
31,01/05/2023,286.6,286.6,286.6,286.6,3.98,0.00
32,01/04/2023,286.6,286.6,286.6,286.6,6.24,0.00
33,01/03/2023,286.6,286.6,286.6,286.6,10.29,0.00
34,01/02/2023,286.6,286.6,286.6,286.6,10.63,0.00
35,01/01/2023,286.6,286.6,286.6,286.6,1.15,0.00
36,12/29/2022,286.6,286.6,286.6,286.6,3.76,0.00
37,12/28/2022,286.6,286.6,286.6,286.6,1.81,0.00
38,12/27/2022,286.6,286.6,286.6,286.6,6.93,0.00
39,12/26/2022,286.6,286.6,286.6,286.6,0.74,0.00
40,12/22/2022,286.6,286.6,286.6,286.6,0.42,0.00
41,12/21/2022,286.6,286.6,286.6,286.6,0.34,0.00
42,12/20/2022,286.6,286.6,286.6,286.6,2.67,0.00
43,12/19/2022,286.6,286.6,286.6,286.6,2.54,0.00
44,12/18/2022,286.6,286.6,286.6,286.6,1.83,0.00
45,12/15/2022,286.6,286.6,286.6,286.6,3.27,0.00
46,12/14/2022,286.6,286.6,286.6,286.6,3.56,0.00
47,12/13/2022,286.6,286.6,286.6,286.6,4.09,0.00
48,12/12/2022,286.6,286.6,286.6,286.6,3.67,0.00
49,12/11/2022,286.6,286.6,286.6,286.6,0.89,0.00
50,12/08/2022,286.6,286.6,286.6,286.6,0.99,0.00
51,12/07/2022,286.6,286.6,286.6,286.6,6.88,0.00
52,12/06/2022,286.6,286.6,286.6,286.6,0.32,0.00
53,12/05/2022,286.6,286.6,286.6,286.6,1.52,0.00
54,12/04/2022,286.6,286.6,286.6,286.6,1.34,0.00
55,12/01/2022,286.6,286.6,286.6,286.6,4.36,0.00
56,11/30/2022,286.6,286.6,286.6,286.6,0.99,0.00
57,11/29/2022,286.6,286.6,286.6,286.6,1.79,0.00
58,11/28/2022,286.6,286.6,286.6,286.6,1.91,0.00
59,11/27/2022,286.6,286.6,286.6,286.6,1.67,0.00
60,11/24/2022,286.6,286.6,286.6,286.6,1.09,0.00
61,11/23/2022,286.6,286.6,286.6,286.6,4.58,0.00
62,11/22/2022,286.6,286.6,286.6,286.6,1.82,0.00
63,11/21/2022,286.6,286.6,286.6,286.6,1.19,0.00
64,11/20/2022,286.6,286.6,286.6,286.6,0.62,0.00
65,11/17/2022,286.6,286.6,286.6,286.6,0.52,0.00
66,11/16/2022,286.6,286.6,286.6,286.6,0.77,0.00
67,11/15/2022,286.6,286.6,286.6,286.6,4.03,0.00
68,11/14/2022,286.6,286.6,286.6,286.6,2.72,0.00
69,11/13/2022,286.6,286.6,286.6,286.6,2.35,0.00
70,11/10/2022,286.6,286.6,286.6,286.6,3.29,0.00
71,11/09/2022,286.6,286.6,286.6,286.6,9.01,0.00
72,11/08/2022,286.6,286.6,286.6,286.6,8.25,0.00
73,11/07/2022,286.6,286.6,286.6,286.6,1.37,0.00
74,11/06/2022,286.6,286.6,286.6,286.6,3.04,0.00
75,11/03/2022,286.6,286.6,286.6,286.6,5.18,0.00
76,11/02/2022,286.6,286.6,286.6,286.6,4.88,0.00
77,11/01/2022,286.6,286.6,286.6,286.6,1.87,0.00
78,10/31/2022,286.6,286.6,286.6,286.6,4.77,0.00
79,10/30/2022,286.6,286.6,286.6,286.6,4.13,0.00
80,10/27/2022,286.6,286.6,286.6,286.6,8.95,0.00
81,10/26/2022,286.6,286.6,286.6,286.6,8.39,0.00
82,10/25/2022,286.6,286.6,286.6,286.6,9.79,0.00
83,10/24/2022,286.6,286.6,286.6,286.6,3.17,0.00
84,10/23/2022,286.6,286.6,286.6,286.6,5.07,0.00
85,10/20/2022,286.6,286.6,286.6,286.6,42.59,0.00
86,10/19/2022,286.6,286.6,286.6,286.6,5.28,0.00
87,10/18/2022,286.6,286.6,286.6,286.6,4.76,0.00
88,10/17/2022,286.6,286.6,286.6,286.6,18.22,0.00
89,10/16/2022,286.6,286.6,286.6,286.6,65.36,0.00
90,10/13/2022,286.6,286.6,286.6,286.6,67.57,0.00
91,10/12/2022,286.6,286.6,286.6,286.6,42.58,0.00
92,10/11/2022,286.6,286.6,286.6,286.6,18.92,0.00
93,10/10/2022,286.6,286.6,286.6,286.6,17.16,0.00
94,10/06/2022,286.6,286.6,286.6,286.6,7.64,0.00
95,10/04/2022,286.6,286.6,286.6,286.6,10.52,0.00
96,10/03/2022,286.6,286.6,286.6,286.6,11.85,0.00
97,10/02/2022,286.6,286.6,288.0,286.6,54.8,0.00
98,09/29/2022,286.6,286.6,286.6,286.6,69.18,0.00
99,09/28/2022,286.6,286.6,286.6,286.6,13.15,0.00
100,09/27/2022,286.6,286.6,286.6,286.6,164.7,0.00
101,09/26/2022,286.6,286.6,286.6,286.6,53.85,0.00
102,09/25/2022,286.6,286.6,287.0,286.6,45.21,0.00
103,09/22/2022,286.6,286.6,286.6,286.6,74.5,0.00
104,09/21/2022,286.6,286.9,287.8,286.6,88.36,-0.07
105,09/20/2022,286.8,287.2,290.0,286.6,318.38,-0.14
106,09/19/2022,287.2,293.5,293.5,286.7,200.36,0.10
107,09/18/2022,286.9,288.4,288.6,286.6,137.28,0.10
108,09/15/2022,286.6,287.0,287.3,286.6,43.86,0.00
109,09/14/2022,286.6,286.6,286.7,286.6,136.64,0.00
110,09/13/2022,286.6,287.0,287.0,286.6,161.03,-0.14
111,09/12/2022,287.0,286.9,287.8,286.8,254.92,0.03
112,09/11/2022,286.9,288.0,288.0,286.6,103.24,-0.03
113,09/08/2022,287.0,291.9,291.9,286.7,143.16,0.07
114,09/07/2022,286.8,288.5,288.5,286.6,153.86,0.03
115,09/06/2022,286.7,288.1,289.0,286.6,124.62,-0.49
116,09/05/2022,288.1,288.7,290.0,287.7,195.73,-0.21
117,09/04/2022,288.7,295.0,295.8,288.0,121.84,-0.45
118,09/01/2022,290.0,290.0,291.0,289.0,161.03,0.76
119,08/31/2022,287.8,295.7,295.7,287.0,167.84,-0.10
120,08/30/2022,288.1,295.2,295.3,287.8,148.11,-1.74
121,08/29/2022,293.2,290.0,294.1,288.9,205.84,1.52
122,08/28/2022,288.8,289.0,291.2,286.8,134.3,0.63
123,08/25/2022,287.0,286.6,287.5,286.6,336.13,0.14
124,08/24/2022,286.6,288.0,288.0,286.6,131.66,-0.10
125,08/23/2022,286.9,286.8,288.0,286.7,158.91,0.07
126,08/22/2022,286.7,288.9,288.9,286.6,358.18,-0.10
127,08/21/2022,287.0,287.0,288.8,286.6,100.43,0.07
128,08/17/2022,286.8,287.0,288.0,286.7,267.1,-0.07
129,08/16/2022,287.0,288.9,288.9,286.6,768.63,-0.07
130,08/14/2022,287.2,288.0,290.9,287.0,58.13,-0.03
131,08/11/2022,287.3,292.0,292.0,286.6,441.34,-5.09
132,08/08/2022,302.7,302.9,305.2,300.1,180.71,-0.23
133,08/07/2022,303.4,300.0,305.0,294.0,190.22,1.23
134,08/04/2022,299.7,299.1,301.5,296.2,138.84,0.67
135,08/03/2022,297.7,301.2,301.2,297.0,264.64,-0.30
136,08/02/2022,298.6,298.9,300.2,295.7,216.45,0.27
137,08/01/2022,297.8,294.1,298.5,294.1,118.48,1.19
138,07/31/2022,294.3,287.3,295.4,287.3,184.72,3.01
139,07/28/2022,285.7,289.4,289.4,283.0,113.17,-0.21
140,07/27/2022,286.3,286.0,287.8,286.0,96.03,0.00
141,07/26/2022,286.3,289.4,289.4,286.0,225.92,-0.28
