"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2023","286.60","286.60","286.60","286.60","3.14K","0.00%"
"02/16/2023","286.60","286.60","286.60","286.60","5.43K","0.00%"
"02/15/2023","286.60","286.60","286.60","286.60","2.27K","0.00%"
"02/14/2023","286.60","286.60","286.60","286.60","2.73K","0.00%"
"02/13/2023","286.60","286.60","286.60","286.60","2.94K","0.00%"
"02/12/2023","286.60","286.60","286.60","286.60","3.75K","0.00%"
"02/09/2023","286.60","286.60","286.60","286.60","6.92K","0.00%"
"02/08/2023","286.60","286.60","286.60","286.60","1.70K","0.00%"
"02/07/2023","286.60","286.60","286.60","286.60","3.24K","0.00%"
"02/06/2023","286.60","286.60","286.60","286.60","2.50K","0.00%"
"02/05/2023","286.60","286.60","286.60","286.60","3.98K","0.00%"
"02/02/2023","286.60","286.60","286.60","286.60","6.30K","0.00%"
"02/01/2023","286.60","286.60","286.60","286.60","2.60K","0.00%"
"01/31/2023","286.60","286.60","286.60","286.60","9.13K","0.00%"
"01/30/2023","286.60","286.60","286.60","286.60","7.16K","0.00%"
"01/29/2023","286.60","286.60","286.60","286.60","4.99K","0.00%"
"01/26/2023","286.60","286.60","286.60","286.60","1.55K","0.00%"
"01/25/2023","286.60","286.60","286.60","286.60","6.05K","0.00%"
"01/24/2023","286.60","286.60","286.60","286.60","4.19K","0.00%"
"01/23/2023","286.60","286.60","286.60","286.60","3.78K","0.00%"
"01/22/2023","286.60","286.60","286.60","286.60","2.68K","0.00%"
"01/19/2023","286.60","286.60","286.60","286.60","2.52K","0.00%"
"01/18/2023","286.60","286.60","286.60","286.60","4.74K","0.00%"
"01/17/2023","286.60","286.60","286.60","286.60","6.64K","0.00%"
"01/16/2023","286.60","286.60","286.60","286.60","2.51K","0.00%"
"01/15/2023","286.60","286.60","286.60","286.60","2.63K","0.00%"
"01/12/2023","286.60","286.60","286.60","286.60","2.17K","0.00%"
"01/11/2023","286.60","286.60","286.60","286.60","1.08K","0.00%"
"01/10/2023","286.60","286.60","286.60","286.60","2.29K","0.00%"
"01/09/2023","286.60","286.60","286.60","286.60","2.06K","0.00%"
"01/08/2023","286.60","286.60","286.60","286.60","4.39K","0.00%"
"01/05/2023","286.60","286.60","286.60","286.60","3.98K","0.00%"
"01/04/2023","286.60","286.60","286.60","286.60","6.24K","0.00%"
"01/03/2023","286.60","286.60","286.60","286.60","10.29K","0.00%"
"01/02/2023","286.60","286.60","286.60","286.60","10.63K","0.00%"
