"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2023","81.80","85.00","85.20","81.30","1.15M","-3.65%"
"02/16/2023","84.90","84.00","85.70","83.80","860.70K","0.59%"
"02/15/2023","84.40","85.50","86.10","84.10","1.04M","-1.29%"
"02/14/2023","85.50","87.60","88.40","85.10","1.44M","-1.84%"
"02/13/2023","87.10","84.70","87.90","84.70","1.24M","1.28%"
"02/12/2023","86.00","90.70","91.80","85.60","1.80M","-4.76%"
"02/09/2023","90.30","92.10","92.60","89.80","2.02M","-1.95%"
"02/08/2023","92.10","94.00","94.60","91.50","3.81M","-1.18%"
"02/07/2023","93.20","89.90","93.60","89.90","3.43M","3.67%"
"02/06/2023","89.90","92.30","92.90","89.30","2.86M","-2.60%"
"02/05/2023","92.30","91.50","94.40","91.50","4.96M","1.54%"
"02/02/2023","90.90","89.90","92.50","89.40","4.53M","3.06%"
"02/01/2023","88.20","85.60","88.90","85.60","3.05M","3.64%"
"01/31/2023","85.10","82.20","86.40","82.20","2.23M","2.65%"
"01/30/2023","82.90","84.90","85.60","82.60","1.37M","-2.24%"
"01/29/2023","84.80","87.20","87.40","84.50","1.38M","-1.40%"
"01/26/2023","86.00","86.00","86.60","84.40","1.12M","0.47%"
"01/25/2023","85.60","89.00","89.90","84.50","2.01M","-2.95%"
"01/24/2023","88.20","86.70","88.70","86.00","1.47M","2.56%"
"01/23/2023","86.00","85.80","87.20","84.60","1.21M","0.94%"
"01/22/2023","85.20","90.00","90.50","84.40","1.92M","-4.38%"
"01/19/2023","89.10","89.10","90.90","87.80","1.93M","0.00%"
"01/18/2023","89.10","94.00","95.00","85.00","2.96M","-5.01%"
"01/17/2023","93.80","89.80","95.00","89.80","3.99M","4.92%"
"01/16/2023","89.40","90.90","91.40","88.30","3.29M","-0.78%"
"01/15/2023","90.10","86.50","90.80","86.50","3.58M","4.89%"
"01/12/2023","85.90","85.00","86.60","83.60","2.58M","1.30%"
"01/11/2023","84.80","86.00","87.80","84.40","2.22M","-1.40%"
"01/10/2023","86.00","82.00","86.60","82.00","3.39M","5.01%"
"01/09/2023","81.90","81.10","82.60","80.80","1.20M","0.86%"
"01/08/2023","81.20","80.80","81.50","79.80","981.88K","0.12%"
"01/05/2023","81.10","82.80","83.00","80.70","816.43K","-2.17%"
"01/04/2023","82.90","81.10","83.30","80.70","1.34M","2.35%"
"01/03/2023","81.00","79.60","81.20","79.60","851.26K","1.76%"
"01/02/2023","79.60","80.80","80.80","79.60","1.24M","-1.61%"
"01/01/2023","80.90","82.80","83.50","80.60","1.09M","-2.18%"
"12/29/2022","82.70","81.90","83.40","81.70","1.17M","1.35%"
"12/28/2022","81.60","80.00","82.10","79.60","1.50M","2.26%"
"12/27/2022","79.80","79.60","80.50","79.60","542.28K","0.25%"
"12/26/2022","79.60","80.90","81.90","79.60","1.30M","-1.49%"
"12/22/2022","80.80","81.20","81.70","79.90","547.96K","-0.49%"
"12/21/2022","81.20","84.90","84.90","79.60","1.89M","-3.56%"
"12/20/2022","84.20","84.70","85.80","84.00","814.22K","-0.59%"
"12/19/2022","84.70","86.90","86.90","84.30","631.10K","-0.35%"
"12/18/2022","85.00","86.00","87.00","84.90","903.42K","-1.51%"
"12/15/2022","86.30","87.00","90.00","85.60","1.49M","-0.58%"
"12/14/2022","86.80","89.10","89.30","86.60","1.12M","-2.14%"
"12/13/2022","88.70","90.90","91.90","88.40","2.14M","-1.11%"
"12/12/2022","89.70","86.40","90.00","86.30","2.43M","4.06%"
"12/11/2022","86.20","85.50","87.50","85.20","1.04M","1.17%"
"12/08/2022","85.20","87.00","87.00","84.20","1.09M","-1.96%"
"12/07/2022","86.90","85.40","88.50","85.20","1.95M","2.60%"
"12/06/2022","84.70","83.20","86.10","83.20","1.21M","1.80%"
"12/05/2022","83.20","87.20","87.20","82.30","2.10M","-4.59%"
"12/01/2022","87.20","85.90","88.20","85.60","2.51M","1.63%"
"11/30/2022","85.80","85.80","86.90","84.50","1.23M","0.12%"
"11/29/2022","85.70","84.80","86.40","83.00","1.13M","2.76%"
"11/28/2022","83.40","88.30","88.30","82.80","1.79M","-5.12%"
"11/27/2022","87.90","86.90","88.70","86.20","1.12M","1.50%"
"11/24/2022","86.60","85.80","87.30","84.70","1.72M","0.58%"
"11/23/2022","86.10","90.70","92.00","85.80","2.71M","-4.97%"
"11/22/2022","90.60","85.70","91.80","85.70","2.24M","7.73%"
"11/21/2022","84.10","84.80","85.70","80.70","2.92M","-1.06%"
"11/20/2022","85.00","93.50","94.50","84.10","3.94M","-8.99%"
"11/17/2022","93.40","98.20","98.20","90.80","3.89M","-4.40%"
"11/16/2022","97.70","93.90","98.70","87.80","3.91M","4.38%"
"11/15/2022","93.60","100.50","101.00","92.70","4.41M","-9.13%"
"11/14/2022","103.00","111.00","113.90","101.60","6.83M","-11.89%"
"11/13/2022","116.90","127.00","127.00","116.00","3.87M","-7.00%"
