"Date","Price","Open","High","Low","Vol.","Change %"
"02/19/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
"02/13/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.02K","0.00%"
"02/09/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"02/08/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.24K","0.00%"
"02/07/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"02/06/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"02/05/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.02K","0.00%"
"02/01/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.11K","0.00%"
"01/30/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.04K","0.00%"
"01/29/2023","1,047.70","1,047.70","1,047.70","1,047.70","1.01K","0.00%"
"01/26/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.07K","0.00%"
"01/25/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
"01/24/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
"01/23/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.03K","0.00%"
"01/22/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
"01/19/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.09K","0.00%"
"01/18/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.02K","0.00%"
"01/17/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"01/16/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.03K","0.00%"
"01/15/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
"01/11/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.30K","0.00%"
"01/10/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
"01/09/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
"01/05/2023","1,047.70","1,047.70","1,047.70","1,047.70","9.02K","0.00%"
"01/04/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.05K","0.00%"
"01/03/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.31K","0.00%"
"01/02/2023","1,047.70","1,047.70","1,047.70","1,047.70","0.05K","0.00%"
"12/29/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.05K","0.00%"
"12/27/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"12/26/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"12/22/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.25K","0.00%"
"12/21/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.02K","0.00%"
"12/20/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"12/19/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"12/15/2022","1,047.70","1,047.70","1,047.70","1,047.70","6.69K","0.00%"
"12/13/2022","1,047.70","1,047.70","1,047.70","1,047.70","5.05K","0.00%"
"12/12/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.04K","0.00%"
"12/11/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.04K","0.00%"
"12/08/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.02K","0.00%"
"12/06/2022","1,047.70","1,047.70","1,047.70","1,047.70","1.62K","0.00%"
"12/05/2022","1,047.70","1,047.70","1,047.70","1,047.70","12.06K","0.00%"
"12/04/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.06K","0.00%"
"12/01/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.03K","0.00%"
"11/30/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.03K","0.00%"
"11/29/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.01K","0.00%"
"11/28/2022","1,047.70","1,047.70","1,047.70","1,047.70","0.00K","0.00%"
