,Price,Open,High,Low,Vol.,Change %
0,286.6,286.6,286.6,286.6,6.3,0.0
1,286.6,286.6,286.6,286.6,2.6,0.0
2,286.6,286.6,286.6,286.6,9.13,0.0
3,286.6,286.6,286.6,286.6,7.16,0.0
4,286.6,286.6,286.6,286.6,4.99,0.0
5,286.6,286.6,286.6,286.6,1.55,0.0
6,286.6,286.6,286.6,286.6,6.05,0.0
7,286.6,286.6,286.6,286.6,4.19,0.0
8,286.6,286.6,286.6,286.6,3.78,0.0
9,286.6,286.6,286.6,286.6,2.68,0.0
10,286.6,286.6,286.6,286.6,2.52,0.0
11,286.6,286.6,286.6,286.6,4.74,0.0
12,286.6,286.6,286.6,286.6,6.64,0.0
13,286.6,286.6,286.6,286.6,2.51,0.0
14,286.6,286.6,286.6,286.6,2.63,0.0
15,286.6,286.6,286.6,286.6,2.17,0.0
16,286.6,286.6,286.6,286.6,1.08,0.0
17,286.6,286.6,286.6,286.6,2.29,0.0
18,286.6,286.6,286.6,286.6,2.06,0.0
19,286.6,286.6,286.6,286.6,4.39,0.0
20,286.6,286.6,286.6,286.6,3.98,0.0
21,286.6,286.6,286.6,286.6,6.24,0.0
22,286.6,286.6,286.6,286.6,10.29,0.0
23,286.6,286.6,286.6,286.6,10.63,0.0
24,286.6,286.6,286.6,286.6,1.15,0.0
25,286.6,286.6,286.6,286.6,3.76,0.0
26,286.6,286.6,286.6,286.6,1.81,0.0
27,286.6,286.6,286.6,286.6,6.93,0.0
28,286.6,286.6,286.6,286.6,0.74,0.0
29,286.6,286.6,286.6,286.6,0.42,0.0
30,286.6,286.6,286.6,286.6,0.34,0.0
31,286.6,286.6,286.6,286.6,2.67,0.0
32,286.6,286.6,286.6,286.6,2.54,0.0
33,286.6,286.6,286.6,286.6,1.83,0.0
34,286.6,286.6,286.6,286.6,3.27,0.0
35,286.6,286.6,286.6,286.6,3.56,0.0
36,286.6,286.6,286.6,286.6,4.09,0.0
37,286.6,286.6,286.6,286.6,3.67,0.0
38,286.6,286.6,286.6,286.6,0.89,0.0
39,286.6,286.6,286.6,286.6,0.99,0.0
40,286.6,286.6,286.6,286.6,6.88,0.0
41,286.6,286.6,286.6,286.6,0.32,0.0
42,286.6,286.6,286.6,286.6,1.52,0.0
43,286.6,286.6,286.6,286.6,1.34,0.0
44,286.6,286.6,286.6,286.6,4.36,0.0
45,286.6,286.6,286.6,286.6,0.99,0.0
46,286.6,286.6,286.6,286.6,1.79,0.0
47,286.6,286.6,286.6,286.6,1.91,0.0
48,286.6,286.6,286.6,286.6,1.67,0.0
49,286.6,286.6,286.6,286.6,1.09,0.0
50,286.6,286.6,286.6,286.6,4.58,0.0
51,286.6,286.6,286.6,286.6,1.82,0.0
52,286.6,286.6,286.6,286.6,1.19,0.0
53,286.6,286.6,286.6,286.6,0.62,0.0
54,286.6,286.6,286.6,286.6,0.52,0.0
55,286.6,286.6,286.6,286.6,0.77,0.0
56,286.6,286.6,286.6,286.6,4.03,0.0
57,286.6,286.6,286.6,286.6,2.72,0.0
58,286.6,286.6,286.6,286.6,2.35,0.0
59,286.6,286.6,286.6,286.6,3.29,0.0
60,286.6,286.6,286.6,286.6,9.01,0.0
61,286.6,286.6,286.6,286.6,8.25,0.0
62,286.6,286.6,286.6,286.6,1.37,0.0
63,286.6,286.6,286.6,286.6,3.04,0.0
64,286.6,286.6,286.6,286.6,5.18,0.0
65,286.6,286.6,286.6,286.6,4.88,0.0
66,286.6,286.6,286.6,286.6,1.87,0.0
67,286.6,286.6,286.6,286.6,4.77,0.0
68,286.6,286.6,286.6,286.6,4.13,0.0
69,286.6,286.6,286.6,286.6,8.95,0.0
70,286.6,286.6,286.6,286.6,8.39,0.0
71,286.6,286.6,286.6,286.6,9.79,0.0
72,286.6,286.6,286.6,286.6,3.17,0.0
73,286.6,286.6,286.6,286.6,5.07,0.0
74,286.6,286.6,286.6,286.6,42.59,0.0
75,286.6,286.6,286.6,286.6,5.28,0.0
76,286.6,286.6,286.6,286.6,4.76,0.0
77,286.6,286.6,286.6,286.6,18.22,0.0
78,286.6,286.6,286.6,286.6,65.36,0.0
79,286.6,286.6,286.6,286.6,67.57,0.0
80,286.6,286.6,286.6,286.6,42.58,0.0
81,286.6,286.6,286.6,286.6,18.92,0.0
82,286.6,286.6,286.6,286.6,17.16,0.0
83,286.6,286.6,286.6,286.6,7.64,0.0
84,286.6,286.6,286.6,286.6,10.52,0.0
85,286.6,286.6,286.6,286.6,11.85,0.0
86,286.6,286.6,288.0,286.6,54.8,0.0
87,286.6,286.6,286.6,286.6,69.18,0.0
88,286.6,286.6,286.6,286.6,13.15,0.0
89,286.6,286.6,286.6,286.6,164.7,0.0
90,286.6,286.6,286.6,286.6,53.85,0.0
91,286.6,286.6,287.0,286.6,45.21,0.0
92,286.6,286.6,286.6,286.6,74.5,0.0
93,286.6,286.9,287.8,286.6,88.36,-0.07
94,286.8,287.2,290.0,286.6,318.38,-0.14
95,287.2,293.5,293.5,286.7,200.36,0.1
96,286.9,288.4,288.6,286.6,137.28,0.1
97,286.6,287.0,287.3,286.6,43.86,0.0
98,286.6,286.6,286.7,286.6,136.64,0.0
99,286.6,287.0,287.0,286.6,161.03,-0.14
100,287.0,286.9,287.8,286.8,254.92,0.03
101,286.9,288.0,288.0,286.6,103.24,-0.03
102,287.0,291.9,291.9,286.7,143.16,0.07
103,286.8,288.5,288.5,286.6,153.86,0.03
104,286.7,288.1,289.0,286.6,124.62,-0.49
105,288.1,288.7,290.0,287.7,195.73,-0.21
106,288.7,295.0,295.8,288.0,121.84,-0.45
107,290.0,290.0,291.0,289.0,161.03,0.76
108,287.8,295.7,295.7,287.0,167.84,-0.1
109,288.1,295.2,295.3,287.8,148.11,-1.74
110,293.2,290.0,294.1,288.9,205.84,1.52
111,288.8,289.0,291.2,286.8,134.3,0.63
112,287.0,286.6,287.5,286.6,336.13,0.14
113,286.6,288.0,288.0,286.6,131.66,-0.1
114,286.9,286.8,288.0,286.7,158.91,0.07
115,286.7,288.9,288.9,286.6,358.18,-0.1
116,287.0,287.0,288.8,286.6,100.43,0.07
117,286.8,287.0,288.0,286.7,267.1,-0.07
118,287.0,288.9,288.9,286.6,768.63,-0.07
119,287.2,288.0,290.9,287.0,58.13,-0.03
120,287.3,292.0,292.0,286.6,441.34,-5.09
121,302.7,302.9,305.2,300.1,180.71,-0.23
122,303.4,300.0,305.0,294.0,190.22,1.23
123,299.7,299.1,301.5,296.2,138.84,0.67
124,297.7,301.2,301.2,297.0,264.64,-0.3
125,298.6,298.9,300.2,295.7,216.45,0.27
126,297.8,294.1,298.5,294.1,118.48,1.19
127,294.3,287.3,295.4,287.3,184.72,3.01
128,285.7,289.4,289.4,283.0,113.17,-0.21
129,286.3,286.0,287.8,286.0,96.03,0.0
130,286.3,289.4,289.4,286.0,225.92,-0.28
131,287.1,286.9,288.0,286.0,129.68,-0.28
132,287.9,289.5,289.5,285.0,64.1,0.28
133,287.1,287.5,288.5,286.0,110.78,0.38
134,286.0,286.3,289.4,285.0,187.8,-0.1
135,286.3,290.8,291.0,283.8,270.76,-1.11
136,289.5,289.8,291.6,285.4,486.31,-0.1
137,289.8,289.9,290.6,288.2,71.21,0.38
138,288.7,287.8,289.3,286.9,148.58,0.31
139,287.8,290.0,290.0,287.1,180.5,-0.45
140,289.1,294.0,294.0,288.0,137.94,0.28
141,288.3,287.5,290.7,287.5,446.09,-1.7
142,293.3,292.0,294.9,292.0,244.5,0.76
143,291.1,277.0,296.7,277.0,0.0,3.01
144,282.6,282.6,282.6,282.6,92.53,-1.98
145,288.3,288.3,288.3,288.3,61.42,-1.97
146,294.1,294.9,294.9,294.1,173.26,-2.0
147,300.1,302.8,302.9,299.6,329.6,-0.89
148,302.8,303.1,304.5,301.9,189.08,-0.03
149,302.9,305.5,305.6,302.5,240.55,-0.88
150,305.6,305.0,305.9,304.2,37.68,0.63
151,303.7,305.0,305.0,303.4,98.25,-0.03
152,303.8,306.9,306.9,303.2,106.34,-0.07
153,304.0,304.1,307.0,303.4,131.53,-0.1
154,304.3,306.0,306.7,304.1,131.2,-0.88
155,307.0,307.0,307.6,305.1,47.78,0.62
156,305.1,304.5,306.0,304.0,88.7,0.2
157,304.5,307.8,307.8,304.0,117.0,-0.07
158,304.7,306.0,306.0,304.2,56.02,-0.36
159,305.8,307.0,307.7,305.2,50.99,-0.59
160,307.6,305.9,308.0,305.6,30.2,0.65
161,305.6,308.0,308.0,305.1,71.72,0.33
162,304.6,308.0,308.0,302.0,115.28,-0.46
163,306.0,307.3,310.0,305.5,119.98,-0.39
164,307.2,313.4,313.6,307.2,183.55,-1.98
165,313.4,306.9,314.5,306.9,155.72,2.96
166,304.4,309.5,309.5,304.0,91.34,-0.78
167,306.8,308.0,308.0,306.0,107.1,-0.1
168,307.1,310.0,310.0,306.7,52.15,-0.13
169,307.5,310.0,312.0,306.4,63.46,-0.58
170,309.3,304.9,314.0,303.5,69.96,2.83
171,300.8,300.1,303.9,300.0,60.89,-0.03
172,300.9,305.1,305.1,300.0,190.95,-0.79
173,303.3,307.0,307.7,302.5,77.34,-0.85
174,305.9,307.5,308.6,305.0,78.44,0.66
175,303.9,303.0,304.5,301.2,54.74,0.43
176,302.6,305.0,305.0,301.5,108.96,-0.46
177,304.0,308.0,308.0,303.0,210.26,-0.94
178,306.9,311.9,311.9,305.5,159.56,-0.87
179,309.6,310.3,315.8,308.6,251.67,-0.23
180,310.3,316.0,316.0,309.5,238.08,-1.62
181,315.4,320.5,320.7,315.0,215.13,-1.07
182,318.8,319.1,322.0,317.9,212.7,-0.03
183,318.9,321.1,321.8,318.5,150.1,-0.62
184,320.9,320.1,322.4,320.0,32.76,0.34
185,319.8,320.1,323.0,319.5,45.63,-0.03
186,319.9,322.9,322.9,319.0,250.67,-0.19
187,320.5,326.4,326.4,319.2,278.83,-1.96
188,326.9,327.0,327.0,325.7,108.82,-0.06
189,327.1,327.2,327.9,325.2,62.09,0.0
190,327.1,324.1,327.6,322.5,77.24,0.99
191,323.9,322.1,324.9,322.1,117.58,0.78
192,321.4,322.8,322.8,320.4,103.3,0.41
193,320.1,320.0,322.0,317.1,346.47,0.09
194,319.8,323.1,323.1,319.1,98.05,-1.02
195,323.1,320.6,325.0,320.0,37.83,1.0
196,319.9,326.0,326.0,316.0,89.0,0.25
197,319.1,321.6,322.2,318.7,98.97,-0.93
198,322.1,324.9,324.9,321.4,61.5,0.06
199,321.9,324.7,324.7,321.5,41.52,0.12
200,321.5,320.4,323.7,318.5,69.27,0.37
201,320.3,323.3,327.5,319.3,114.28,-1.45
202,325.0,325.1,326.0,324.1,47.79,0.03
203,324.9,329.9,329.9,324.1,84.04,-1.16
204,328.7,328.9,329.9,328.5,34.4,-0.06
205,328.9,329.7,330.0,327.5,58.87,0.06
206,328.7,329.8,330.0,327.9,21.31,0.18
207,328.1,330.9,331.0,327.1,74.71,-0.85
208,330.9,329.9,331.6,328.3,103.01,0.67
209,328.7,325.8,331.0,325.0,42.09,0.95
210,325.6,325.1,329.0,324.1,62.95,0.03
211,325.5,328.0,328.4,323.7,68.84,0.25
212,324.7,327.0,327.0,323.3,141.56,-0.09
213,325.0,326.2,326.9,322.1,49.62,-0.34
214,326.1,326.0,329.4,325.3,35.11,0.06
215,325.9,330.1,332.0,325.5,113.89,-1.84
216,332.0,334.0,334.0,330.2,30.3,0.61
217,330.0,329.9,342.8,327.2,120.15,0.67
218,327.8,322.0,329.8,322.0,87.04,1.74
219,322.2,324.0,326.9,318.0,119.58,0.53
220,320.5,320.0,325.5,318.8,171.79,1.3
221,316.4,320.2,320.2,315.0,192.18,-0.38
222,317.6,327.9,327.9,317.2,167.37,-1.7
223,323.1,333.0,333.0,322.0,150.06,-1.73
224,328.8,338.7,338.7,327.5,201.8,-1.88
225,335.1,340.5,340.5,333.4,130.68,-1.53
226,340.3,340.0,341.6,340.0,68.7,0.09
227,340.0,340.5,344.3,339.5,97.32,-0.26
228,340.9,345.0,347.7,336.0,62.0,-0.29
229,341.9,349.3,349.3,340.2,184.96,-3.8
230,355.4,355.8,356.2,354.2,158.41,0.23
231,354.6,358.8,358.8,352.3,106.82,-0.62
232,356.8,357.0,358.0,354.6,120.94,-0.25
233,357.7,357.0,358.0,356.2,112.18,-0.06
234,357.9,358.0,359.5,357.0,152.37,0.08
235,357.6,358.0,359.5,357.3,101.49,-0.08
236,357.9,358.0,358.6,357.0,61.98,-0.03
237,358.0,357.0,358.5,355.0,56.07,0.03
238,357.9,359.5,359.5,356.5,53.83,-0.08
239,358.2,357.4,358.5,355.8,87.08,0.67
240,355.8,355.3,358.0,354.7,127.29,-0.59
241,357.9,354.5,358.2,354.2,54.85,0.76
242,355.2,356.9,356.9,354.5,54.94,0.0
243,355.2,355.0,355.9,354.6,52.96,0.17
244,354.6,356.9,356.9,354.1,29.76,-0.37
245,355.9,356.2,356.7,353.0,45.04,0.54
246,354.0,352.0,355.8,351.5,64.73,0.74
247,351.4,351.4,355.0,350.0,168.17,-1.13
248,355.4,356.0,358.0,354.6,47.11,0.06
249,355.2,359.0,359.4,355.0,75.18,-1.06
250,359.0,359.8,360.0,358.5,57.93,0.06
251,358.8,356.2,359.3,355.0,57.88,0.42
252,357.3,359.2,360.0,356.0,110.03,-0.47
253,359.0,358.6,359.5,358.6,50.7,0.11
254,358.6,360.0,360.0,358.1,46.29,-0.25
255,359.5,360.0,360.0,358.1,52.26,0.03
256,359.4,359.9,360.8,358.6,110.16,0.03
257,359.3,357.1,360.4,357.0,144.82,0.62
258,357.1,354.0,359.9,354.0,180.61,1.05
259,353.4,350.0,355.9,350.0,120.84,0.97
260,350.0,350.1,350.7,348.0,126.17,0.49
261,348.3,346.5,350.0,345.2,168.72,0.55
262,346.4,350.3,350.3,346.0,189.86,-0.8
263,349.2,347.8,349.5,347.8,54.66,0.4
264,347.8,350.6,353.0,346.1,153.23,-0.51
265,349.6,350.0,350.9,349.1,34.53,0.03
266,349.5,348.5,351.8,348.5,62.76,0.32
267,348.4,350.0,351.4,348.0,51.66,-0.46
268,350.0,349.2,351.0,349.2,55.77,0.26
269,349.1,348.5,350.3,348.5,53.42,-0.26
270,350.0,350.0,351.5,347.0,64.27,-0.09
271,350.3,349.9,351.0,348.2,112.94,0.11
272,349.9,351.9,352.0,349.0,82.18,0.14
273,349.4,350.5,351.8,348.3,103.35,0.03
274,349.3,353.2,353.2,346.6,173.88,-1.1
275,353.2,352.8,354.4,352.7,69.64,-0.56
276,355.2,357.3,357.4,354.0,81.87,0.17
277,354.6,358.0,359.5,353.0,96.27,-1.14
278,358.7,358.0,360.0,357.6,116.38,-0.03
279,358.8,360.0,360.8,357.1,83.57,-0.14
280,359.3,361.8,361.8,358.0,44.8,-0.14
281,359.8,362.2,362.2,358.6,34.81,-0.3
282,360.9,361.9,362.5,360.2,44.06,0.06
283,360.7,362.8,363.0,360.0,43.59,-0.36
284,362.0,360.7,362.2,358.5,36.76,0.92
285,358.7,355.0,359.8,353.0,126.72,0.82
286,355.8,359.0,359.0,351.5,95.51,2.15
287,348.3,363.0,363.0,346.0,278.78,-3.22
288,359.9,360.4,361.4,359.2,29.9,-0.11
289,360.3,360.0,361.1,358.7,49.51,-0.08
290,360.6,360.1,362.5,359.0,80.13,0.08
291,360.3,359.6,362.4,359.2,62.91,-0.22
292,361.1,359.0,362.5,359.0,44.46,0.33
293,359.9,360.0,361.4,359.0,47.7,0.03
294,359.8,360.5,364.7,358.5,44.54,-0.22
295,360.6,362.0,363.0,359.5,41.6,0.03
296,360.5,361.0,363.0,358.7,58.32,-0.33
297,361.7,361.9,363.7,359.0,74.02,0.67
298,359.3,360.2,362.4,358.8,82.85,-0.25
299,360.2,361.9,363.7,359.0,26.23,0.31
300,359.1,354.7,362.0,354.7,117.38,1.13
301,355.1,356.0,356.8,354.0,55.14,0.08
